"id","name","created_at","sort_order"
"f170255c-adf5-4607-896f-70340b09ace9","Православие","2026-06-22 13:23:31.450237+00",1
"98054c73-43a1-4d44-a53d-a7bb764ea58f","Ислам","2026-06-22 13:23:31.450237+00",2
"322120ea-5653-42b5-9bdd-b3d78341e1e3","Буддизм","2026-06-22 13:23:31.450237+00",3
"42bbdf02-1631-44d8-8c9f-8271fe412e54","Иудаизм","2026-06-22 13:23:31.450237+00",4
"aa626b23-d226-4c01-8e4b-a1c5484b6233","Католичество","2026-06-22 13:23:31.450237+00",5
"4bdc871c-a13a-478f-8942-fb94ccfc9dfb","Протестантизм","2026-06-24 13:17:32.684659+00",6
"2db9eb79-bbd9-4c0d-9a2c-7914db7a7af0","Новые религиозные движения","2026-06-24 13:19:04.795672+00",7
