"function_name","return_type","arguments","schema"
"st_cpawithin","boolean","geometry, geometry, double precision","public"
"st_crosses","boolean","geom1 geometry, geom2 geometry","public"
"st_curven","geometry","geometry geometry, i integer","public"
"st_curvetoline","geometry","geom geometry, tol double precision DEFAULT 32, toltype integer DEFAULT 0, flags integer DEFAULT 0","public"
"st_delaunaytriangles","geometry","g1 geometry, tolerance double precision DEFAULT 0.0, flags integer DEFAULT 0","public"
"st_dfullywithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"st_difference","geometry","geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1.0'::numeric","public"
"st_dimension","integer","geometry","public"
"st_disjoint","boolean","geom1 geometry, geom2 geometry","public"
"st_distance","double precision","geom1 geometry, geom2 geometry","public"
"st_distance","double precision","geog1 geography, geog2 geography, use_spheroid boolean DEFAULT true","public"
"st_distance","double precision","text, text","public"
"st_distancecpa","double precision","geometry, geometry","public"
"st_distancesphere","double precision","geom1 geometry, geom2 geometry, radius double precision","public"
"st_distancesphere","double precision","geom1 geometry, geom2 geometry","public"
"st_distancespheroid","double precision","geom1 geometry, geom2 geometry","public"
"st_distancespheroid","double precision","geom1 geometry, geom2 geometry, spheroid","public"
"st_dump","SETOF geometry_dump","geometry","public"
"st_dumppoints","SETOF geometry_dump","geometry","public"
"st_dumprings","SETOF geometry_dump","geometry","public"
"st_dumpsegments","SETOF geometry_dump","geometry","public"
"st_dwithin","boolean","geom1 geometry, geom2 geometry, double precision","public"
"st_dwithin","boolean","geog1 geography, geog2 geography, tolerance double precision, use_spheroid boolean DEFAULT true","public"
"st_dwithin","boolean","text, text, double precision","public"
"st_endpoint","geometry","geometry","public"
"st_envelope","geometry","geometry","public"
"st_equals","boolean","geom1 geometry, geom2 geometry","public"
"st_estimatedextent","box2d","text, text, text, boolean","public"
"st_estimatedextent","box2d","text, text, text","public"
"st_estimatedextent","box2d","text, text","public"
"st_expand","box3d","box box3d, dx double precision, dy double precision, dz double precision DEFAULT 0","public"
"st_expand","geometry","geometry, double precision","public"
"st_expand","geometry","geom geometry, dx double precision, dy double precision, dz double precision DEFAULT 0, dm double precision DEFAULT 0","public"
"st_expand","box3d","box3d, double precision","public"
"st_expand","box2d","box2d, double precision","public"
"st_expand","box2d","box box2d, dx double precision, dy double precision","public"
"st_exteriorring","geometry","geometry","public"
"st_filterbym","geometry","geometry, double precision, double precision DEFAULT NULL::double precision, boolean DEFAULT false","public"
"st_findextent","box2d","text, text","public"
"st_findextent","box2d","text, text, text","public"
"st_flipcoordinates","geometry","geometry","public"
"st_force2d","geometry","geometry","public"
"st_force3d","geometry","geom geometry, zvalue double precision DEFAULT 0.0","public"
"st_force3dm","geometry","geom geometry, mvalue double precision DEFAULT 0.0","public"
"st_force3dz","geometry","geom geometry, zvalue double precision DEFAULT 0.0","public"
"st_force4d","geometry","geom geometry, zvalue double precision DEFAULT 0.0, mvalue double precision DEFAULT 0.0","public"
"st_forcecollection","geometry","geometry","public"
"st_forcecurve","geometry","geometry","public"
"st_forcepolygonccw","geometry","geometry","public"
"st_forcepolygoncw","geometry","geometry","public"
"st_forcerhr","geometry","geometry","public"
"st_forcesfs","geometry","geometry, version text","public"
"st_forcesfs","geometry","geometry","public"
"st_frechetdistance","double precision","geom1 geometry, geom2 geometry, double precision DEFAULT '-1'::integer","public"
"st_fromflatgeobuf","SETOF anyelement","anyelement, bytea","public"
"st_fromflatgeobuftotable","void","text, text, bytea","public"
"st_generatepoints","geometry","area geometry, npoints integer, seed integer","public"
"st_generatepoints","geometry","area geometry, npoints integer","public"
"st_geogfromtext","geography","text","public"
"st_geogfromwkb","geography","bytea","public"
"st_geographyfromtext","geography","text","public"
"st_geohash","text","geog geography, maxchars integer DEFAULT 0","public"
"st_geohash","text","geom geometry, maxchars integer DEFAULT 0","public"
"st_geomcollfromtext","geometry","text, integer","public"
"st_geomcollfromtext","geometry","text","public"
"st_geomcollfromwkb","geometry","bytea","public"
"st_geomcollfromwkb","geometry","bytea, integer","public"
"st_geometricmedian","geometry","g geometry, tolerance double precision DEFAULT NULL::double precision, max_iter integer DEFAULT 10000, fail_if_not_converged boolean DEFAULT false","public"
"st_geometryfromtext","geometry","text, integer","public"
"st_geometryfromtext","geometry","text","public"
"st_geometryn","geometry","geometry, integer","public"
"st_geometrytype","text","geometry","public"
"st_geomfromewkb","geometry","bytea","public"
"st_geomfromewkt","geometry","text","public"
"st_geomfromgeohash","geometry","text, integer DEFAULT NULL::integer","public"
"st_geomfromgeojson","geometry","jsonb","public"
"st_geomfromgeojson","geometry","json","public"
"st_geomfromgeojson","geometry","text","public"
"st_geomfromgml","geometry","text, integer","public"
"st_geomfromgml","geometry","text","public"
"st_geomfromkml","geometry","text","public"
"st_geomfrommarc21","geometry","marc21xml text","public"
"st_geomfromtext","geometry","text","public"
"st_geomfromtext","geometry","text, integer","public"
"st_geomfromtwkb","geometry","bytea","public"
"st_geomfromwkb","geometry","bytea, integer","public"
"st_geomfromwkb","geometry","bytea","public"
"st_gmltosql","geometry","text, integer","public"
"st_gmltosql","geometry","text","public"
"st_hasarc","boolean","geometry geometry","public"
"st_hasm","boolean","geometry","public"
"st_hasz","boolean","geometry","public"
"st_hausdorffdistance","double precision","geom1 geometry, geom2 geometry","public"
"st_hausdorffdistance","double precision","geom1 geometry, geom2 geometry, double precision","public"
"st_hexagon","geometry","size double precision, cell_i integer, cell_j integer, origin geometry DEFAULT '010100000000000000000000000000000000000000'::geometry","public"
"st_hexagongrid","SETOF record","size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer","public"
"st_interiorringn","geometry","geometry, integer","public"
"st_interpolatepoint","double precision","line geometry, point geometry","public"
"st_intersection","geography","geography, geography","public"
"st_intersection","geometry","text, text","public"
"st_intersection","geometry","geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1'::integer","public"
"st_intersects","boolean","geog1 geography, geog2 geography","public"
"st_intersects","boolean","text, text","public"
"st_intersects","boolean","geom1 geometry, geom2 geometry","public"
"st_inversetransformpipeline","geometry","geom geometry, pipeline text, to_srid integer DEFAULT 0","public"
"st_isclosed","boolean","geometry","public"
"st_iscollection","boolean","geometry","public"
"st_isempty","boolean","geometry","public"
"st_ispolygonccw","boolean","geometry","public"
"st_ispolygoncw","boolean","geometry","public"
"st_isring","boolean","geometry","public"
"st_issimple","boolean","geometry","public"
"st_isvalid","boolean","geometry","public"
"st_isvalid","boolean","geometry, integer","public"
"st_isvaliddetail","valid_detail","geom geometry, flags integer DEFAULT 0","public"
"st_isvalidreason","text","geometry, integer","public"
"st_isvalidreason","text","geometry","public"
"st_isvalidtrajectory","boolean","geometry","public"
"st_largestemptycircle","record","geom geometry, tolerance double precision DEFAULT 0.0, boundary geometry DEFAULT '0101000000000000000000F87F000000000000F87F'::geometry, OUT center geometry, OUT nearest geometry, OUT radius double precision","public"
"st_length","double precision","geometry","public"
"st_length","double precision","geog geography, use_spheroid boolean DEFAULT true","public"
"st_length","double precision","text","public"
"st_length2d","double precision","geometry","public"
"st_length2dspheroid","double precision","geometry, spheroid","public"
"st_lengthspheroid","double precision","geometry, spheroid","public"
"st_letters","geometry","letters text, font json DEFAULT NULL::json","public"
"st_linecrossingdirection","integer","line1 geometry, line2 geometry","public"
"st_lineextend","geometry","geom geometry, distance_forward double precision, distance_backward double precision DEFAULT 0.0","public"
"st_linefromencodedpolyline","geometry","txtin text, nprecision integer DEFAULT 5","public"
"st_linefrommultipoint","geometry","geometry","public"
"st_linefromtext","geometry","text","public"
"st_linefromtext","geometry","text, integer","public"
"st_linefromwkb","geometry","bytea","public"
"st_linefromwkb","geometry","bytea, integer","public"
"st_lineinterpolatepoint","geometry","geometry, double precision","public"
"st_lineinterpolatepoint","geometry","text, double precision","public"
"st_lineinterpolatepoint","geography","geography, double precision, use_spheroid boolean DEFAULT true","public"
"st_lineinterpolatepoints","geometry","text, double precision","public"
"st_lineinterpolatepoints","geometry","geometry, double precision, repeat boolean DEFAULT true","public"
"st_lineinterpolatepoints","geography","geography, double precision, use_spheroid boolean DEFAULT true, repeat boolean DEFAULT true","public"
"st_linelocatepoint","double precision","geom1 geometry, geom2 geometry","public"
"st_linelocatepoint","double precision","text, text","public"
"st_linelocatepoint","double precision","geography, geography, use_spheroid boolean DEFAULT true","public"
"st_linemerge","geometry","geometry","public"
"st_linemerge","geometry","geometry, boolean","public"
"st_linestringfromwkb","geometry","bytea, integer","public"
"st_linestringfromwkb","geometry","bytea","public"
"st_linesubstring","geometry","geometry, double precision, double precision","public"
"st_linesubstring","geography","geography, double precision, double precision","public"
"st_linesubstring","geometry","text, double precision, double precision","public"
"st_linetocurve","geometry","geometry geometry","public"
"st_locatealong","geometry","geometry geometry, measure double precision, leftrightoffset double precision DEFAULT 0.0","public"
"st_locatebetween","geometry","geometry geometry, frommeasure double precision, tomeasure double precision, leftrightoffset double precision DEFAULT 0.0","public"
"st_locatebetweenelevations","geometry","geometry geometry, fromelevation double precision, toelevation double precision","public"
"st_longestline","geometry","geom1 geometry, geom2 geometry","public"
"st_m","double precision","geometry","public"
"st_makebox2d","box2d","geom1 geometry, geom2 geometry","public"
"st_makeenvelope","geometry","double precision, double precision, double precision, double precision, integer DEFAULT 0","public"
"st_makeline","geometry","geom1 geometry, geom2 geometry","public"
"st_makeline","geometry","geometry[]","public"
"st_makepoint","geometry","double precision, double precision, double precision","public"
"st_makepoint","geometry","double precision, double precision, double precision, double precision","public"
"st_makepoint","geometry","double precision, double precision","public"
"st_makepointm","geometry","double precision, double precision, double precision","public"
"st_makepolygon","geometry","geometry","public"
"st_makepolygon","geometry","geometry, geometry[]","public"
"st_makevalid","geometry","geometry","public"
"st_makevalid","geometry","geom geometry, params text","public"
"st_maxdistance","double precision","geom1 geometry, geom2 geometry","public"
"st_maximuminscribedcircle","record","geometry, OUT center geometry, OUT nearest geometry, OUT radius double precision","public"
"st_memsize","integer","geometry","public"
"st_minimumboundingcircle","geometry","inputgeom geometry, segs_per_quarter integer DEFAULT 48","public"
"st_minimumboundingradius","record","geometry, OUT center geometry, OUT radius double precision","public"
"st_minimumclearance","double precision","geometry","public"
"st_minimumclearanceline","geometry","geometry","public"
"st_mlinefromtext","geometry","text","public"
"st_mlinefromtext","geometry","text, integer","public"
"st_mlinefromwkb","geometry","bytea","public"
"st_mlinefromwkb","geometry","bytea, integer","public"
"st_mpointfromtext","geometry","text, integer","public"
"st_mpointfromtext","geometry","text","public"
"st_mpointfromwkb","geometry","bytea","public"
"st_mpointfromwkb","geometry","bytea, integer","public"
"st_mpolyfromtext","geometry","text, integer","public"
"st_mpolyfromtext","geometry","text","public"
"st_mpolyfromwkb","geometry","bytea, integer","public"
"st_mpolyfromwkb","geometry","bytea","public"
"st_multi","geometry","geometry","public"
"st_multilinefromwkb","geometry","bytea","public"
"st_multilinestringfromtext","geometry","text","public"
"st_multilinestringfromtext","geometry","text, integer","public"
"st_multipointfromtext","geometry","text","public"
"st_multipointfromwkb","geometry","bytea","public"
"st_multipointfromwkb","geometry","bytea, integer","public"
"st_multipolyfromwkb","geometry","bytea","public"
"st_multipolyfromwkb","geometry","bytea, integer","public"
"st_multipolygonfromtext","geometry","text, integer","public"
"st_multipolygonfromtext","geometry","text","public"
"st_ndims","smallint","geometry","public"
"st_node","geometry","g geometry","public"
"st_normalize","geometry","geom geometry","public"
"st_npoints","integer","geometry","public"
"st_nrings","integer","geometry","public"
"st_numcurves","integer","geometry geometry","public"
"st_numgeometries","integer","geometry","public"
"st_numinteriorring","integer","geometry","public"
"st_numinteriorrings","integer","geometry","public"
"st_numpatches","integer","geometry","public"
"st_numpoints","integer","geometry","public"
"st_offsetcurve","geometry","line geometry, distance double precision, params text DEFAULT ''::text","public"
"st_orderingequals","boolean","geom1 geometry, geom2 geometry","public"
"st_orientedenvelope","geometry","geometry","public"
"st_overlaps","boolean","geom1 geometry, geom2 geometry","public"
"st_patchn","geometry","geometry, integer","public"
"st_perimeter","double precision","geometry","public"
"st_perimeter","double precision","geog geography, use_spheroid boolean DEFAULT true","public"
"st_perimeter2d","double precision","geometry","public"
"st_point","geometry","double precision, double precision, srid integer","public"
"st_point","geometry","double precision, double precision","public"
"st_pointfromgeohash","geometry","text, integer DEFAULT NULL::integer","public"
"st_pointfromtext","geometry","text","public"
"st_pointfromtext","geometry","text, integer","public"
"st_pointfromwkb","geometry","bytea, integer","public"
"st_pointfromwkb","geometry","bytea","public"
"st_pointinsidecircle","boolean","geometry, double precision, double precision, double precision","public"
"st_pointm","geometry","xcoordinate double precision, ycoordinate double precision, mcoordinate double precision, srid integer DEFAULT 0","public"
"st_pointn","geometry","geometry, integer","public"
"st_pointonsurface","geometry","geometry","public"
"st_points","geometry","geometry","public"
"st_pointz","geometry","xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, srid integer DEFAULT 0","public"
"st_pointzm","geometry","xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, mcoordinate double precision, srid integer DEFAULT 0","public"
"st_polyfromtext","geometry","text, integer","public"
"st_polyfromtext","geometry","text","public"
"st_polyfromwkb","geometry","bytea, integer","public"
"st_polyfromwkb","geometry","bytea","public"
"st_polygon","geometry","geometry, integer","public"
"st_polygonfromtext","geometry","text","public"
"st_polygonfromtext","geometry","text, integer","public"
"st_polygonfromwkb","geometry","bytea","public"
"st_polygonfromwkb","geometry","bytea, integer","public"
"st_polygonize","geometry","geometry[]","public"
"st_project","geometry","geom1 geometry, geom2 geometry, distance double precision","public"
"st_project","geometry","geom1 geometry, distance double precision, azimuth double precision","public"
"st_project","geography","geog geography, distance double precision, azimuth double precision","public"
"st_project","geography","geog_from geography, geog_to geography, distance double precision","public"
"st_quantizecoordinates","geometry","g geometry, prec_x integer, prec_y integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer","public"
"st_reduceprecision","geometry","geom geometry, gridsize double precision","public"
"st_relate","text","geom1 geometry, geom2 geometry","public"
"st_relate","boolean","geom1 geometry, geom2 geometry, text","public"
"st_relate","text","geom1 geometry, geom2 geometry, integer","public"
"st_relatematch","boolean","text, text","public"
"st_removeirrelevantpointsforview","geometry","geometry, box2d, boolean DEFAULT false","public"
"st_removepoint","geometry","geometry, integer","public"
"st_removerepeatedpoints","geometry","geom geometry, tolerance double precision DEFAULT 0.0","public"
"st_removesmallparts","geometry","geometry, double precision, double precision","public"
"st_reverse","geometry","geometry","public"
"st_rotate","geometry","geometry, double precision, double precision, double precision","public"
"st_rotate","geometry","geometry, double precision","public"
"st_rotate","geometry","geometry, double precision, geometry","public"
"st_rotatex","geometry","geometry, double precision","public"
"st_rotatey","geometry","geometry, double precision","public"
"st_rotatez","geometry","geometry, double precision","public"
"st_scale","geometry","geometry, geometry, origin geometry","public"
"st_scale","geometry","geometry, geometry","public"
"st_scale","geometry","geometry, double precision, double precision","public"
"st_scale","geometry","geometry, double precision, double precision, double precision","public"
"st_scroll","geometry","geometry, geometry","public"
"st_segmentize","geography","geog geography, max_segment_length double precision","public"
"st_segmentize","geometry","geometry, double precision","public"
"st_seteffectivearea","geometry","geometry, double precision DEFAULT '-1'::integer, integer DEFAULT 1","public"
"st_setpoint","geometry","geometry, integer, geometry","public"
"st_setsrid","geometry","geom geometry, srid integer","public"
"st_setsrid","geography","geog geography, srid integer","public"
"st_sharedpaths","geometry","geom1 geometry, geom2 geometry","public"
"st_shiftlongitude","geometry","geometry","public"
"st_shortestline","geography","geography, geography, use_spheroid boolean DEFAULT true","public"
"st_shortestline","geometry","text, text","public"
"st_shortestline","geometry","geom1 geometry, geom2 geometry","public"
"st_simplify","geometry","geometry, double precision, boolean","public"
"st_simplify","geometry","geometry, double precision","public"
"st_simplifypolygonhull","geometry","geom geometry, vertex_fraction double precision, is_outer boolean DEFAULT true","public"
"st_simplifypreservetopology","geometry","geometry, double precision","public"
"st_simplifyvw","geometry","geometry, double precision","public"
"st_snap","geometry","geom1 geometry, geom2 geometry, double precision","public"
"st_snaptogrid","geometry","geometry, double precision, double precision, double precision, double precision","public"
"st_snaptogrid","geometry","geom1 geometry, geom2 geometry, double precision, double precision, double precision, double precision","public"
"st_snaptogrid","geometry","geometry, double precision","public"
"st_snaptogrid","geometry","geometry, double precision, double precision","public"
"st_split","geometry","geom1 geometry, geom2 geometry","public"
"st_square","geometry","size double precision, cell_i integer, cell_j integer, origin geometry DEFAULT '010100000000000000000000000000000000000000'::geometry","public"
"st_squaregrid","SETOF record","size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer","public"
"st_srid","integer","geog geography","public"
"st_srid","integer","geom geometry","public"
"st_startpoint","geometry","geometry","public"
"st_subdivide","SETOF geometry","geom geometry, maxvertices integer DEFAULT 256, gridsize double precision DEFAULT '-1.0'::numeric","public"
"st_summary","text","geography","public"
"st_summary","text","geometry","public"
"st_swapordinates","geometry","geom geometry, ords cstring","public"
"st_symdifference","geometry","geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1.0'::numeric","public"
"st_symmetricdifference","geometry","geom1 geometry, geom2 geometry","public"
"st_tileenvelope","geometry","zoom integer, x integer, y integer, bounds geometry DEFAULT '0102000020110F00000200000093107C45F81B73C193107C45F81B73C193107C45F81B734193107C45F81B7341'::geometry, margin double precision DEFAULT 0.0","public"
"st_touches","boolean","geom1 geometry, geom2 geometry","public"
"st_transform","geometry","geom geometry, from_proj text, to_proj text","public"
"st_transform","geometry","geom geometry, from_proj text, to_srid integer","public"
"st_transform","geometry","geom geometry, to_proj text","public"
"st_transform","geometry","geometry, integer","public"
"st_transformpipeline","geometry","geom geometry, pipeline text, to_srid integer DEFAULT 0","public"
"st_translate","geometry","geometry, double precision, double precision, double precision","public"
"st_translate","geometry","geometry, double precision, double precision","public"
"st_transscale","geometry","geometry, double precision, double precision, double precision, double precision","public"
"st_triangulatepolygon","geometry","g1 geometry","public"
"st_unaryunion","geometry","geometry, gridsize double precision DEFAULT '-1.0'::numeric","public"
"st_union","geometry","geom1 geometry, geom2 geometry, gridsize double precision","public"
"st_union","geometry","geom1 geometry, geom2 geometry","public"
"st_union","geometry","geometry[]","public"
"st_voronoilines","geometry","g1 geometry, tolerance double precision DEFAULT 0.0, extend_to geometry DEFAULT NULL::geometry","public"
"st_voronoipolygons","geometry","g1 geometry, tolerance double precision DEFAULT 0.0, extend_to geometry DEFAULT NULL::geometry","public"
"st_within","boolean","geom1 geometry, geom2 geometry","public"
"st_wkbtosql","geometry","wkb bytea","public"
"st_wkttosql","geometry","text","public"
"st_wrapx","geometry","geom geometry, wrap double precision, move double precision","public"
"st_x","double precision","geometry","public"
"st_xmax","double precision","box3d","public"
"st_xmin","double precision","box3d","public"
"st_y","double precision","geometry","public"
"st_ymax","double precision","box3d","public"
"st_ymin","double precision","box3d","public"
"st_z","double precision","geometry","public"
"st_zmax","double precision","box3d","public"
"st_zmflag","smallint","geometry","public"
"st_zmin","double precision","box3d","public"
"strict_word_similarity","real","text, text","public"
"strict_word_similarity_commutator_op","boolean","text, text","public"
"strict_word_similarity_dist_commutator_op","real","text, text","public"
"strict_word_similarity_dist_op","real","text, text","public"
"strict_word_similarity_op","boolean","text, text","public"
"text","text","geometry","public"
"update_job_status_atomic","jsonb","p_job_id uuid, p_new_status text, p_user_id uuid","public"
"updategeometrysrid","text","catalogn_name character varying, schema_name character varying, table_name character varying, column_name character varying, new_srid_in integer","public"
"updategeometrysrid","text","character varying, character varying, integer","public"
"updategeometrysrid","text","character varying, character varying, character varying, integer","public"
"withdraw_application_atomic","jsonb","p_application_id uuid, p_user_id uuid","public"
"word_similarity","real","text, text","public"
"word_similarity_commutator_op","boolean","text, text","public"
"word_similarity_dist_commutator_op","real","text, text","public"
"word_similarity_dist_op","real","text, text","public"
"word_similarity_op","boolean","text, text","public"
