"function_name","return_type","arguments","schema"
"geography_gist_picksplit","internal","internal, internal","public"
"geography_gist_same","internal","box2d, box2d, internal","public"
"geography_gist_union","internal","bytea, internal","public"
"geography_gt","boolean","geography, geography","public"
"geography_in","geography","cstring, oid, integer","public"
"geography_le","boolean","geography, geography","public"
"geography_lt","boolean","geography, geography","public"
"geography_out","cstring","geography","public"
"geography_overlaps","boolean","geography, geography","public"
"geography_recv","geography","internal, oid, integer","public"
"geography_send","bytea","geography","public"
"geography_spgist_choose_nd","void","internal, internal","public"
"geography_spgist_compress_nd","internal","internal","public"
"geography_spgist_config_nd","void","internal, internal","public"
"geography_spgist_inner_consistent_nd","void","internal, internal","public"
"geography_spgist_leaf_consistent_nd","boolean","internal, internal","public"
"geography_spgist_picksplit_nd","void","internal, internal","public"
"geography_typmod_in","integer","cstring[]","public"
"geography_typmod_out","cstring","integer","public"
"geom2d_brin_inclusion_add_value","boolean","internal, internal, internal, internal","public"
"geom2d_brin_inclusion_merge","internal","internal, internal","public"
"geom3d_brin_inclusion_add_value","boolean","internal, internal, internal, internal","public"
"geom3d_brin_inclusion_merge","internal","internal, internal","public"
"geom4d_brin_inclusion_add_value","boolean","internal, internal, internal, internal","public"
"geom4d_brin_inclusion_merge","internal","internal, internal","public"
"geometry","geometry","polygon","public"
"geometry","geometry","box2d","public"
"geometry","geometry","geometry, integer, boolean","public"
"geometry","geometry","point","public"
"geometry","geometry","path","public"
"geometry","geometry","geography","public"
"geometry","geometry","bytea","public"
"geometry","geometry","text","public"
"geometry","geometry","box3d","public"
"geometry_above","boolean","geom1 geometry, geom2 geometry","public"
"geometry_analyze","boolean","internal","public"
"geometry_below","boolean","geom1 geometry, geom2 geometry","public"
"geometry_cmp","integer","geom1 geometry, geom2 geometry","public"
"geometry_contained_3d","boolean","geom1 geometry, geom2 geometry","public"
"geometry_contains","boolean","geom1 geometry, geom2 geometry","public"
"geometry_contains_3d","boolean","geom1 geometry, geom2 geometry","public"
"geometry_contains_nd","boolean","geometry, geometry","public"
"geometry_distance_box","double precision","geom1 geometry, geom2 geometry","public"
"geometry_distance_centroid","double precision","geom1 geometry, geom2 geometry","public"
"geometry_distance_centroid_nd","double precision","geometry, geometry","public"
"geometry_distance_cpa","double precision","geometry, geometry","public"
"geometry_eq","boolean","geom1 geometry, geom2 geometry","public"
"geometry_ge","boolean","geom1 geometry, geom2 geometry","public"
"geometry_gist_compress_2d","internal","internal","public"
"geometry_gist_compress_nd","internal","internal","public"
"geometry_gist_consistent_2d","boolean","internal, geometry, integer","public"
"geometry_gist_consistent_nd","boolean","internal, geometry, integer","public"
"geometry_gist_decompress_2d","internal","internal","public"
"geometry_gist_decompress_nd","internal","internal","public"
"geometry_gist_distance_2d","double precision","internal, geometry, integer","public"
"geometry_gist_distance_nd","double precision","internal, geometry, integer","public"
"geometry_gist_penalty_2d","internal","internal, internal, internal","public"
"geometry_gist_penalty_nd","internal","internal, internal, internal","public"
"geometry_gist_picksplit_2d","internal","internal, internal","public"
"geometry_gist_picksplit_nd","internal","internal, internal","public"
"geometry_gist_same_2d","internal","geom1 geometry, geom2 geometry, internal","public"
"geometry_gist_same_nd","internal","geometry, geometry, internal","public"
"geometry_gist_sortsupport_2d","void","internal","public"
"geometry_gist_union_2d","internal","bytea, internal","public"
"geometry_gist_union_nd","internal","bytea, internal","public"
"geometry_gt","boolean","geom1 geometry, geom2 geometry","public"
"geometry_hash","integer","geometry","public"
"geometry_in","geometry","cstring","public"
"geometry_le","boolean","geom1 geometry, geom2 geometry","public"
