"schemaname","tablename","policyname","permissive","roles","cmd","qual","with_check"
"public","messages","Application participants can insert messages","PERMISSIVE","{public}","INSERT",NULL,"((current_setting('request.jwt.claim.user_id'::text, true))::uuid = sender_id)"
"public","messages","Application participants can view messages","PERMISSIVE","{public}","SELECT","((current_setting('request.jwt.claim.user_id'::text, true))::uuid IN ( SELECT applications.worker_id
   FROM applications
  WHERE (applications.id = messages.application_id)
UNION
 SELECT jobs.employer_id
   FROM (applications
     JOIN jobs ON ((jobs.id = applications.job_id)))
  WHERE (applications.id = messages.application_id)))",NULL
"public","monetization_settings","monetization_settings_insert","PERMISSIVE","{public}","INSERT",NULL,"(current_setting('request.jwt.claim.role'::text, true) = 'admin'::text)"
"public","monetization_settings","monetization_settings_select","PERMISSIVE","{public}","SELECT","true",NULL
"public","monetization_settings","monetization_settings_update","PERMISSIVE","{public}","UPDATE","(current_setting('request.jwt.claim.role'::text, true) = 'admin'::text)",NULL
"public","notifications","Service can insert notifications","PERMISSIVE","{public}","INSERT",NULL,"true"
"public","notifications","Users can read their own notifications","PERMISSIVE","{public}","SELECT","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
"public","profiles","Service can insert profiles","PERMISSIVE","{public}","INSERT",NULL,"true"
"public","profiles","Users can read profiles","PERMISSIVE","{public}","SELECT","true",NULL
"public","profiles","Users can update their own profile","PERMISSIVE","{public}","UPDATE","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = id)","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = id)"
"public","push_subscriptions","Users can create own push subscriptions","PERMISSIVE","{public}","INSERT",NULL,"((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)"
"public","push_subscriptions","Users can delete own push subscriptions","PERMISSIVE","{public}","DELETE","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
"public","push_subscriptions","Users can update own push subscriptions","PERMISSIVE","{public}","UPDATE","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)"
"public","push_subscriptions","Users can view own push subscriptions","PERMISSIVE","{public}","SELECT","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
"public","ratings","Anyone can read ratings","PERMISSIVE","{public}","SELECT","true",NULL
"public","ratings","Users can update own ratings","PERMISSIVE","{public}","UPDATE","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = rater_user_id)","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = rater_user_id)"
"public","ratings","Users can upsert own ratings","PERMISSIVE","{public}","INSERT",NULL,"((current_setting('request.jwt.claim.user_id'::text, true))::uuid = rater_user_id)"
"public","receipts","receipts_insert","PERMISSIVE","{public}","INSERT",NULL,"(current_setting('request.jwt.claim.role'::text, true) = 'admin'::text)"
"public","receipts","receipts_select","PERMISSIVE","{public}","SELECT","(((current_setting('request.jwt.claim.user_id'::text, true))::uuid IN ( SELECT _archive_contact_payments.employer_id
   FROM _archive_contact_payments
  WHERE (_archive_contact_payments.id = receipts.contact_payment_id)
UNION
 SELECT _archive_contact_payments.worker_id
   FROM _archive_contact_payments
  WHERE (_archive_contact_payments.id = receipts.contact_payment_id))) OR (current_setting('request.jwt.claim.role'::text, true) = 'admin'::text))",NULL
"public","receipts","receipts_update","PERMISSIVE","{public}","UPDATE","(current_setting('request.jwt.claim.role'::text, true) = 'admin'::text)",NULL
"public","religions","admin_religions","PERMISSIVE","{public}","ALL","(current_setting('request.jwt.claim.role'::text, true) = 'admin'::text)",NULL
"public","religions","read_religions","PERMISSIVE","{public}","SELECT","true",NULL
"public","skills","admin_skills","PERMISSIVE","{public}","ALL","(current_setting('request.jwt.claim.role'::text, true) = 'admin'::text)",NULL
"public","skills","read_skills","PERMISSIVE","{public}","SELECT","true",NULL
"public","spatial_ref_sys","spatial_ref_sys_select","PERMISSIVE","{public}","SELECT","true",NULL
"public","tariff_settings","Anyone can read tariff settings","PERMISSIVE","{public}","SELECT","true",NULL
"public","user_skills","read_user_skills","PERMISSIVE","{public}","SELECT","true",NULL
"public","user_skills","user_own_skills","PERMISSIVE","{public}","ALL","((current_setting('request.jwt.claim.user_id'::text, true))::uuid = user_id)",NULL
