"proname","args","language"
"geography_spgist_picksplit_nd","internal, internal","c"
"geography_typmod_in","cstring[]","c"
"geography_typmod_out","integer","c"
"geom2d_brin_inclusion_add_value","internal, internal, internal, internal","c"
"geom2d_brin_inclusion_merge","internal, internal","c"
"geom3d_brin_inclusion_add_value","internal, internal, internal, internal","c"
"geom3d_brin_inclusion_merge","internal, internal","c"
"geom4d_brin_inclusion_add_value","internal, internal, internal, internal","c"
"geom4d_brin_inclusion_merge","internal, internal","c"
"geometry","geometry, integer, boolean","c"
"geometry","bytea","c"
"geometry","box3d","c"
"geometry","geography","c"
"geometry","text","c"
"geometry","polygon","c"
"geometry","box2d","c"
"geometry","path","c"
"geometry","point","c"
"geometry_above","geom1 geometry, geom2 geometry","c"
"geometry_analyze","internal","c"
"geometry_below","geom1 geometry, geom2 geometry","c"
"geometry_cmp","geom1 geometry, geom2 geometry","c"
"geometry_contained_3d","geom1 geometry, geom2 geometry","c"
"geometry_contains","geom1 geometry, geom2 geometry","c"
"geometry_contains_3d","geom1 geometry, geom2 geometry","c"
"geometry_contains_nd","geometry, geometry","c"
"geometry_distance_box","geom1 geometry, geom2 geometry","c"
"geometry_distance_centroid","geom1 geometry, geom2 geometry","c"
"geometry_distance_centroid_nd","geometry, geometry","c"
"geometry_distance_cpa","geometry, geometry","c"
"geometry_eq","geom1 geometry, geom2 geometry","c"
"geometry_ge","geom1 geometry, geom2 geometry","c"
"geometry_gist_compress_2d","internal","c"
"geometry_gist_compress_nd","internal","c"
"geometry_gist_consistent_2d","internal, geometry, integer","c"
"geometry_gist_consistent_nd","internal, geometry, integer","c"
"geometry_gist_decompress_2d","internal","c"
"geometry_gist_decompress_nd","internal","c"
"geometry_gist_distance_2d","internal, geometry, integer","c"
"geometry_gist_distance_nd","internal, geometry, integer","c"
"geometry_gist_penalty_2d","internal, internal, internal","c"
"geometry_gist_penalty_nd","internal, internal, internal","c"
"geometry_gist_picksplit_2d","internal, internal","c"
"geometry_gist_picksplit_nd","internal, internal","c"
"geometry_gist_same_2d","geom1 geometry, geom2 geometry, internal","c"
"geometry_gist_same_nd","geometry, geometry, internal","c"
"geometry_gist_sortsupport_2d","internal","c"
"geometry_gist_union_2d","bytea, internal","c"
"geometry_gist_union_nd","bytea, internal","c"
"geometry_gt","geom1 geometry, geom2 geometry","c"
"geometry_hash","geometry","c"
"geometry_in","cstring","c"
"geometry_le","geom1 geometry, geom2 geometry","c"
"geometry_left","geom1 geometry, geom2 geometry","c"
"geometry_lt","geom1 geometry, geom2 geometry","c"
"geometry_neq","geom1 geometry, geom2 geometry","c"
"geometry_out","geometry","c"
"geometry_overabove","geom1 geometry, geom2 geometry","c"
"geometry_overbelow","geom1 geometry, geom2 geometry","c"
"geometry_overlaps","geom1 geometry, geom2 geometry","c"
"geometry_overlaps_3d","geom1 geometry, geom2 geometry","c"
"geometry_overlaps_nd","geometry, geometry","c"
"geometry_overleft","geom1 geometry, geom2 geometry","c"
"geometry_overright","geom1 geometry, geom2 geometry","c"
"geometry_recv","internal","c"
"geometry_right","geom1 geometry, geom2 geometry","c"
"geometry_same","geom1 geometry, geom2 geometry","c"
"geometry_same_3d","geom1 geometry, geom2 geometry","c"
"geometry_same_nd","geometry, geometry","c"
"geometry_send","geometry","c"
"geometry_sortsupport","internal","c"
"geometry_spgist_choose_2d","internal, internal","c"
"geometry_spgist_choose_3d","internal, internal","c"
"geometry_spgist_choose_nd","internal, internal","c"
"geometry_spgist_compress_2d","internal","c"
"geometry_spgist_compress_3d","internal","c"
"geometry_spgist_compress_nd","internal","c"
"geometry_spgist_config_2d","internal, internal","c"
"geometry_spgist_config_3d","internal, internal","c"
"geometry_spgist_config_nd","internal, internal","c"
"geometry_spgist_inner_consistent_2d","internal, internal","c"
"geometry_spgist_inner_consistent_3d","internal, internal","c"
"geometry_spgist_inner_consistent_nd","internal, internal","c"
"geometry_spgist_leaf_consistent_2d","internal, internal","c"
"geometry_spgist_leaf_consistent_3d","internal, internal","c"
"geometry_spgist_leaf_consistent_nd","internal, internal","c"
"geometry_spgist_picksplit_2d","internal, internal","c"
"geometry_spgist_picksplit_3d","internal, internal","c"
"geometry_spgist_picksplit_nd","internal, internal","c"
"geometry_typmod_in","cstring[]","c"
"geometry_typmod_out","integer","c"
"geometry_within","geom1 geometry, geom2 geometry","c"
"geometry_within_nd","geometry, geometry","c"
"geometrytype","geography","c"
"geometrytype","geometry","c"
"geomfromewkb","bytea","c"
"geomfromewkt","text","c"
"get_job_stats","","plpgsql"
"get_proj4_from_srid","integer","plpgsql"
"gidx_in","cstring","c"
"gidx_out","gidx","c"
"gin_extract_query_trgm","text, internal, smallint, internal, internal, internal, internal","c"
"gin_extract_value_trgm","text, internal","c"
"gin_trgm_consistent","internal, smallint, text, integer, internal, internal, internal, internal","c"
"gin_trgm_triconsistent","internal, smallint, text, integer, internal, internal, internal","c"
"gserialized_gist_joinsel_2d","internal, oid, internal, smallint","c"
"gserialized_gist_joinsel_nd","internal, oid, internal, smallint","c"
"gserialized_gist_sel_2d","internal, oid, internal, integer","c"
"gserialized_gist_sel_nd","internal, oid, internal, integer","c"
"gtrgm_compress","internal","c"
