"proname","args","language"
"st_force3dm","geom geometry, mvalue double precision DEFAULT 0.0","c"
"st_force3dz","geom geometry, zvalue double precision DEFAULT 0.0","c"
"st_force4d","geom geometry, zvalue double precision DEFAULT 0.0, mvalue double precision DEFAULT 0.0","c"
"st_forcecollection","geometry","c"
"st_forcecurve","geometry","c"
"st_forcepolygonccw","geometry","sql"
"st_forcepolygoncw","geometry","c"
"st_forcerhr","geometry","c"
"st_forcesfs","geometry, version text","c"
"st_forcesfs","geometry","c"
"st_frechetdistance","geom1 geometry, geom2 geometry, double precision DEFAULT '-1'::integer","c"
"st_fromflatgeobuf","anyelement, bytea","c"
"st_fromflatgeobuftotable","text, text, bytea","c"
"st_generatepoints","area geometry, npoints integer, seed integer","c"
"st_generatepoints","area geometry, npoints integer","c"
"st_geogfromtext","text","c"
"st_geogfromwkb","bytea","c"
"st_geographyfromtext","text","c"
"st_geohash","geog geography, maxchars integer DEFAULT 0","c"
"st_geohash","geom geometry, maxchars integer DEFAULT 0","c"
"st_geomcollfromtext","text, integer","sql"
"st_geomcollfromtext","text","sql"
"st_geomcollfromwkb","bytea","sql"
"st_geomcollfromwkb","bytea, integer","sql"
"st_geometricmedian","g geometry, tolerance double precision DEFAULT NULL::double precision, max_iter integer DEFAULT 10000, fail_if_not_converged boolean DEFAULT false","c"
"st_geometryfromtext","text, integer","c"
"st_geometryfromtext","text","c"
"st_geometryn","geometry, integer","c"
"st_geometrytype","geometry","c"
"st_geomfromewkb","bytea","c"
"st_geomfromewkt","text","c"
"st_geomfromgeohash","text, integer DEFAULT NULL::integer","sql"
"st_geomfromgeojson","json","sql"
"st_geomfromgeojson","jsonb","sql"
"st_geomfromgeojson","text","c"
"st_geomfromgml","text, integer","c"
"st_geomfromgml","text","sql"
"st_geomfromkml","text","c"
"st_geomfrommarc21","marc21xml text","c"
"st_geomfromtext","text, integer","c"
"st_geomfromtext","text","c"
"st_geomfromtwkb","bytea","c"
"st_geomfromwkb","bytea, integer","sql"
"st_geomfromwkb","bytea","c"
"st_gmltosql","text, integer","c"
"st_gmltosql","text","sql"
"st_hasarc","geometry geometry","c"
"st_hasm","geometry","c"
"st_hasz","geometry","c"
"st_hausdorffdistance","geom1 geometry, geom2 geometry","c"
"st_hausdorffdistance","geom1 geometry, geom2 geometry, double precision","c"
"st_hexagon","size double precision, cell_i integer, cell_j integer, origin geometry DEFAULT '010100000000000000000000000000000000000000'::geometry","c"
"st_hexagongrid","size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer","c"
"st_interiorringn","geometry, integer","c"
"st_interpolatepoint","line geometry, point geometry","c"
"st_intersection","geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1'::integer","c"
"st_intersection","geography, geography","sql"
"st_intersection","text, text","sql"
"st_intersects","geog1 geography, geog2 geography","c"
"st_intersects","text, text","sql"
"st_intersects","geom1 geometry, geom2 geometry","c"
"st_inversetransformpipeline","geom geometry, pipeline text, to_srid integer DEFAULT 0","sql"
"st_isclosed","geometry","c"
"st_iscollection","geometry","c"
"st_isempty","geometry","c"
"st_ispolygonccw","geometry","c"
"st_ispolygoncw","geometry","c"
"st_isring","geometry","c"
"st_issimple","geometry","c"
"st_isvalid","geometry, integer","sql"
"st_isvalid","geometry","c"
"st_isvaliddetail","geom geometry, flags integer DEFAULT 0","c"
"st_isvalidreason","geometry","c"
"st_isvalidreason","geometry, integer","sql"
"st_isvalidtrajectory","geometry","c"
"st_largestemptycircle","geom geometry, tolerance double precision DEFAULT 0.0, boundary geometry DEFAULT '0101000000000000000000F87F000000000000F87F'::geometry, OUT center geometry, OUT nearest geometry, OUT radius double precision","c"
"st_length","text","sql"
"st_length","geometry","c"
"st_length","geog geography, use_spheroid boolean DEFAULT true","c"
"st_length2d","geometry","c"
"st_length2dspheroid","geometry, spheroid","c"
"st_lengthspheroid","geometry, spheroid","c"
"st_letters","letters text, font json DEFAULT NULL::json","plpgsql"
"st_linecrossingdirection","line1 geometry, line2 geometry","c"
"st_lineextend","geom geometry, distance_forward double precision, distance_backward double precision DEFAULT 0.0","c"
"st_linefromencodedpolyline","txtin text, nprecision integer DEFAULT 5","c"
"st_linefrommultipoint","geometry","c"
"st_linefromtext","text, integer","sql"
"st_linefromtext","text","sql"
"st_linefromwkb","bytea, integer","sql"
"st_linefromwkb","bytea","sql"
"st_lineinterpolatepoint","geography, double precision, use_spheroid boolean DEFAULT true","c"
"st_lineinterpolatepoint","geometry, double precision","c"
"st_lineinterpolatepoint","text, double precision","sql"
"st_lineinterpolatepoints","geometry, double precision, repeat boolean DEFAULT true","c"
"st_lineinterpolatepoints","text, double precision","sql"
"st_lineinterpolatepoints","geography, double precision, use_spheroid boolean DEFAULT true, repeat boolean DEFAULT true","c"
"st_linelocatepoint","geography, geography, use_spheroid boolean DEFAULT true","c"
"st_linelocatepoint","geom1 geometry, geom2 geometry","c"
"st_linelocatepoint","text, text","sql"
"st_linemerge","geometry, boolean","c"
"st_linemerge","geometry","c"
"st_linestringfromwkb","bytea, integer","sql"
"st_linestringfromwkb","bytea","sql"
"st_linesubstring","geography, double precision, double precision","c"
"st_linesubstring","text, double precision, double precision","sql"
"st_linesubstring","geometry, double precision, double precision","c"
"st_linetocurve","geometry geometry","c"
"st_locatealong","geometry geometry, measure double precision, leftrightoffset double precision DEFAULT 0.0","c"
"st_locatebetween","geometry geometry, frommeasure double precision, tomeasure double precision, leftrightoffset double precision DEFAULT 0.0","c"
"st_locatebetweenelevations","geometry geometry, fromelevation double precision, toelevation double precision","c"
"st_longestline","geom1 geometry, geom2 geometry","sql"
"st_m","geometry","c"
"st_makebox2d","geom1 geometry, geom2 geometry","c"
"st_makeenvelope","double precision, double precision, double precision, double precision, integer DEFAULT 0","c"
"st_makeline","geometry[]","c"
"st_makeline","geom1 geometry, geom2 geometry","c"
"st_makeline","geometry","internal"
"st_makepoint","double precision, double precision, double precision, double precision","c"
"st_makepoint","double precision, double precision","c"
"st_makepoint","double precision, double precision, double precision","c"
"st_makepointm","double precision, double precision, double precision","c"
"st_makepolygon","geometry","c"
"st_makepolygon","geometry, geometry[]","c"
"st_makevalid","geom geometry, params text","c"
"st_makevalid","geometry","c"
"st_maxdistance","geom1 geometry, geom2 geometry","sql"
"st_maximuminscribedcircle","geometry, OUT center geometry, OUT nearest geometry, OUT radius double precision","c"
"st_memcollect","geometry","internal"
"st_memsize","geometry","c"
"st_memunion","geometry","internal"
"st_minimumboundingcircle","inputgeom geometry, segs_per_quarter integer DEFAULT 48","c"
"st_minimumboundingradius","geometry, OUT center geometry, OUT radius double precision","c"
"st_minimumclearance","geometry","c"
"st_minimumclearanceline","geometry","c"
"st_mlinefromtext","text, integer","sql"
"st_mlinefromtext","text","sql"
"st_mlinefromwkb","bytea","sql"
"st_mlinefromwkb","bytea, integer","sql"
"st_mpointfromtext","text, integer","sql"
"st_mpointfromtext","text","sql"
"st_mpointfromwkb","bytea, integer","sql"
"st_mpointfromwkb","bytea","sql"
"st_mpolyfromtext","text","sql"
"st_mpolyfromtext","text, integer","sql"
"st_mpolyfromwkb","bytea, integer","sql"
"st_mpolyfromwkb","bytea","sql"
"st_multi","geometry","c"
"st_multilinefromwkb","bytea","sql"
"st_multilinestringfromtext","text","sql"
"st_multilinestringfromtext","text, integer","sql"
"st_multipointfromtext","text","sql"
"st_multipointfromwkb","bytea","sql"
"st_multipointfromwkb","bytea, integer","sql"
"st_multipolyfromwkb","bytea, integer","sql"
"st_multipolyfromwkb","bytea","sql"
"st_multipolygonfromtext","text, integer","sql"
"st_multipolygonfromtext","text","sql"
"st_ndims","geometry","c"
"st_node","g geometry","c"
"st_normalize","geom geometry","c"
"st_npoints","geometry","c"
"st_nrings","geometry","c"
"st_numcurves","geometry geometry","c"
"st_numgeometries","geometry","c"
"st_numinteriorring","geometry","c"
"st_numinteriorrings","geometry","c"
"st_numpatches","geometry","sql"
"st_numpoints","geometry","c"
"st_offsetcurve","line geometry, distance double precision, params text DEFAULT ''::text","c"
"st_orderingequals","geom1 geometry, geom2 geometry","c"
"st_orientedenvelope","geometry","c"
"st_overlaps","geom1 geometry, geom2 geometry","c"
"st_patchn","geometry, integer","sql"
"st_perimeter","geog geography, use_spheroid boolean DEFAULT true","c"
"st_perimeter","geometry","c"
"st_perimeter2d","geometry","c"
"st_point","double precision, double precision","c"
"st_point","double precision, double precision, srid integer","c"
"st_pointfromgeohash","text, integer DEFAULT NULL::integer","c"
"st_pointfromtext","text, integer","sql"
"st_pointfromtext","text","sql"
"st_pointfromwkb","bytea, integer","sql"
"st_pointfromwkb","bytea","sql"
"st_pointinsidecircle","geometry, double precision, double precision, double precision","c"
"st_pointm","xcoordinate double precision, ycoordinate double precision, mcoordinate double precision, srid integer DEFAULT 0","c"
"st_pointn","geometry, integer","c"
"st_pointonsurface","geometry","c"
"st_points","geometry","c"
"st_pointz","xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, srid integer DEFAULT 0","c"
"st_pointzm","xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, mcoordinate double precision, srid integer DEFAULT 0","c"
"st_polyfromtext","text, integer","sql"
"st_polyfromtext","text","sql"
"st_polyfromwkb","bytea, integer","sql"
"st_polyfromwkb","bytea","sql"
"st_polygon","geometry, integer","sql"
"st_polygonfromtext","text","sql"
"st_polygonfromtext","text, integer","sql"
"st_polygonfromwkb","bytea","sql"
"st_polygonfromwkb","bytea, integer","sql"
"st_polygonize","geometry[]","c"
"st_polygonize","geometry","internal"
"st_project","geom1 geometry, distance double precision, azimuth double precision","c"
"st_project","geog_from geography, geog_to geography, distance double precision","c"
"st_project","geom1 geometry, geom2 geometry, distance double precision","c"
"st_project","geog geography, distance double precision, azimuth double precision","c"
"st_quantizecoordinates","g geometry, prec_x integer, prec_y integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer","c"
"st_reduceprecision","geom geometry, gridsize double precision","c"
"st_relate","geom1 geometry, geom2 geometry, integer","c"
"st_relate","geom1 geometry, geom2 geometry, text","c"
"st_relate","geom1 geometry, geom2 geometry","c"
"st_relatematch","text, text","c"
"st_removeirrelevantpointsforview","geometry, box2d, boolean DEFAULT false","c"
"st_removepoint","geometry, integer","c"
"st_removerepeatedpoints","geom geometry, tolerance double precision DEFAULT 0.0","c"
"st_removesmallparts","geometry, double precision, double precision","c"
"st_reverse","geometry","c"
"st_rotate","geometry, double precision","sql"
"st_rotate","geometry, double precision, double precision, double precision","sql"
"st_rotate","geometry, double precision, geometry","sql"
"st_rotatex","geometry, double precision","sql"
"st_rotatey","geometry, double precision","sql"
"st_rotatez","geometry, double precision","sql"
"st_scale","geometry, geometry, origin geometry","c"
"st_scale","geometry, double precision, double precision","sql"
"st_scale","geometry, geometry","c"
"st_scale","geometry, double precision, double precision, double precision","sql"
"st_scroll","geometry, geometry","c"
"st_segmentize","geog geography, max_segment_length double precision","c"
"st_segmentize","geometry, double precision","c"
"st_seteffectivearea","geometry, double precision DEFAULT '-1'::integer, integer DEFAULT 1","c"
"st_setpoint","geometry, integer, geometry","c"
"st_setsrid","geog geography, srid integer","c"
"st_setsrid","geom geometry, srid integer","c"
"st_sharedpaths","geom1 geometry, geom2 geometry","c"
"st_shiftlongitude","geometry","c"
"st_shortestline","geom1 geometry, geom2 geometry","c"
"st_shortestline","text, text","sql"
"st_shortestline","geography, geography, use_spheroid boolean DEFAULT true","c"
"st_simplify","geometry, double precision, boolean","c"
"st_simplify","geometry, double precision","c"
"st_simplifypolygonhull","geom geometry, vertex_fraction double precision, is_outer boolean DEFAULT true","c"
"st_simplifypreservetopology","geometry, double precision","c"
"st_simplifyvw","geometry, double precision","c"
"st_snap","geom1 geometry, geom2 geometry, double precision","c"
"st_snaptogrid","geometry, double precision, double precision","sql"
"st_snaptogrid","geometry, double precision, double precision, double precision, double precision","c"
"st_snaptogrid","geometry, double precision","sql"
"st_snaptogrid","geom1 geometry, geom2 geometry, double precision, double precision, double precision, double precision","c"
"st_split","geom1 geometry, geom2 geometry","c"
"st_square","size double precision, cell_i integer, cell_j integer, origin geometry DEFAULT '010100000000000000000000000000000000000000'::geometry","c"
"st_squaregrid","size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer","c"
"st_srid","geom geometry","c"
"st_srid","geog geography","c"
"st_startpoint","geometry","c"
"st_subdivide","geom geometry, maxvertices integer DEFAULT 256, gridsize double precision DEFAULT '-1.0'::numeric","c"
"st_summary","geometry","c"
"st_summary","geography","c"
"st_swapordinates","geom geometry, ords cstring","c"
"st_symdifference","geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1.0'::numeric","c"
"st_symmetricdifference","geom1 geometry, geom2 geometry","sql"
"st_tileenvelope","zoom integer, x integer, y integer, bounds geometry DEFAULT '0102000020110F00000200000093107C45F81B73C193107C45F81B73C193107C45F81B734193107C45F81B7341'::geometry, margin double precision DEFAULT 0.0","c"
"st_touches","geom1 geometry, geom2 geometry","c"
"st_transform","geom geometry, from_proj text, to_srid integer","sql"
"st_transform","geometry, integer","c"
"st_transform","geom geometry, to_proj text","sql"
"st_transform","geom geometry, from_proj text, to_proj text","sql"
"st_transformpipeline","geom geometry, pipeline text, to_srid integer DEFAULT 0","sql"
"st_translate","geometry, double precision, double precision","sql"
"st_translate","geometry, double precision, double precision, double precision","sql"
"st_transscale","geometry, double precision, double precision, double precision, double precision","sql"
"st_triangulatepolygon","g1 geometry","c"
"st_unaryunion","geometry, gridsize double precision DEFAULT '-1.0'::numeric","c"
"st_union","geom1 geometry, geom2 geometry, gridsize double precision","c"
"st_union","geometry[]","c"
"st_union","geometry","internal"
"st_union","geom1 geometry, geom2 geometry","c"
"st_union","geometry, gridsize double precision","internal"
"st_voronoilines","g1 geometry, tolerance double precision DEFAULT 0.0, extend_to geometry DEFAULT NULL::geometry","sql"
"st_voronoipolygons","g1 geometry, tolerance double precision DEFAULT 0.0, extend_to geometry DEFAULT NULL::geometry","sql"
"st_within","geom1 geometry, geom2 geometry","c"
"st_wkbtosql","wkb bytea","c"
"st_wkttosql","text","c"
"st_wrapx","geom geometry, wrap double precision, move double precision","c"
"st_x","geometry","c"
"st_xmax","box3d","c"
"st_xmin","box3d","c"
"st_y","geometry","c"
"st_ymax","box3d","c"
"st_ymin","box3d","c"
"st_z","geometry","c"
"st_zmax","box3d","c"
"st_zmflag","geometry","c"
"st_zmin","box3d","c"
"strict_word_similarity","text, text","c"
"strict_word_similarity_commutator_op","text, text","c"
"strict_word_similarity_dist_commutator_op","text, text","c"
"strict_word_similarity_dist_op","text, text","c"
"strict_word_similarity_op","text, text","c"
"text","geometry","c"
"update_job_status_atomic","p_job_id uuid, p_new_status text, p_user_id uuid","plpgsql"
"updategeometrysrid","catalogn_name character varying, schema_name character varying, table_name character varying, column_name character varying, new_srid_in integer","plpgsql"
"updategeometrysrid","character varying, character varying, integer","plpgsql"
"updategeometrysrid","character varying, character varying, character varying, integer","plpgsql"
"withdraw_application_atomic","p_application_id uuid, p_user_id uuid","plpgsql"
"word_similarity","text, text","c"
"word_similarity_commutator_op","text, text","c"
"word_similarity_dist_commutator_op","text, text","c"
"word_similarity_dist_op","text, text","c"
"word_similarity_op","text, text","c"
